,Tile Name,Current Target ID,RA,DEC
0,SMC_J0032.9-7421,3111079,8.218,-74.338
1,SMC_J0037.2-7422,3111080,9.334,-74.372
2,SMC_J0041.5-7423,3111081,10.372,-74.377
3,SMC_J0045.9-7424,3111082,11.349,-74.371
4,SMC_J0050.3-7424,3111083,12.574,-74.397
5,SMC_J0054.6-7424,3111084,13.636,-74.396
6,SMC_J0059.0-7424,3111085,14.778,-74.387
7,SMC_J0031.1-7403,3111086,7.742,-74.049
8,SMC_J0035.3-7404,3111087,8.825,-74.058
9,SMC_J0039.6-7405,3111088,9.911,-74.077
10,SMC_J0043.9-7406,3111089,10.971,-74.096
11,SMC_J0048.2-7406,3111090,12.05,-74.106
12,SMC_J0052.4-7406,3111091,13.113,-74.113
13,SMC_J0056.7-7406,3111092,14.182,-74.099
14,SMC_J0101.0-7406,3111093,15.243,-74.094
15,SMC_J0113.8-7403,3111094,18.45,-74.043
16,SMC_J0118.0-7401,3111095,19.523,-74.018
17,SMC_J0122.3-7359,3111096,20.579,-73.979
18,SMC_J0126.5-7357,3111097,21.64,-73.944
19,SMC_J0029.4-7344,3111098,7.333,-73.731
20,SMC_J0033.5-7346,3111099,8.39,-73.763
21,SMC_J0037.7-7347,3111100,9.431,-73.779
22,SMC_J0041.9-7348,3111101,10.48,-73.8
23,SMC_J0046.1-7348,3111102,11.545,-73.815
24,SMC_J0050.3-7349,3111103,12.585,-73.812
25,SMC_J0054.5-7349,3111104,13.645,-73.802
26,SMC_J0058.8-7348,3111105,14.663,-73.808
27,SMC_J0103.0-7348,3111106,15.736,-73.797
28,SMC_J0111.3-7346,3111107,17.816,-73.763
29,SMC_J0115.5-7344,3111108,18.763,-73.705
30,SMC_J0119.7-7342,3111109,19.921,-73.704
31,SMC_J0123.8-7340,3111110,20.964,-73.675
32,SMC_J0128.0-7338,3111111,21.998,-73.632
33,SMC_J0031.8-7327,3111112,7.952,-73.456
34,SMC_J0035.9-7329,3111113,8.998,-73.48
35,SMC_J0040.0-7330,3111114,10.002,-73.496
36,SMC_J0044.2-7331,3111115,11.032,-73.509
37,SMC_J0048.3-7331,3111116,12.046,-73.523
38,SMC_J0052.4-7331,3111117,13.097,-73.522
39,SMC_J0056.6-7331,3111118,14.149,-73.515
40,SMC_J0100.7-7331,3111119,15.177,-73.509
41,SMC_J0104.8-7330,3111120,16.212,-73.497
42,SMC_J0109.0-7329,3111121,17.256,-73.477
43,SMC_J0113.1-7328,3111122,18.27,-73.456
44,SMC_J0117.2-7326,3111123,19.294,-73.432
45,SMC_J0121.3-7324,3111124,20.314,-73.403
46,SMC_J0125.3-7322,3111125,21.367,-73.337
47,SMC_J0030.2-7309,3111126,7.55,-73.156
48,SMC_J0034.2-7311,3111127,8.558,-73.175
49,SMC_J0038.2-7312,3111128,9.547,-73.184
50,SMC_J0042.3-7313,3111129,10.57,-73.212
51,SMC_J0046.4-7313,3111130,11.592,-73.224
52,SMC_J0050.4-7314,3111131,12.602,-73.219
53,SMC_J0054.5-7314,3111132,13.604,-73.23
54,SMC_J0058.5-7313,3111133,14.664,-73.221
55,SMC_J0102.6-7313,3111134,15.658,-73.209
56,SMC_J0106.7-7312,3111135,16.676,-73.192
57,SMC_J0110.7-7311,3111136,17.691,-73.179
58,SMC_J0114.7-7309,3111137,18.672,-73.155
59,SMC_J0118.8-7307,3111138,19.709,-73.127
60,SMC_J0122.8-7305,3111139,20.709,-73.09
61,SMC_J0126.8-7303,3111140,21.708,-73.05
62,SMC_J0032.5-7252,3111141,8.126,-72.869
63,SMC_J0036.5-7254,3111142,9.108,-72.903
64,SMC_J0040.5-7255,3111143,10.122,-72.906
65,SMC_J0044.5-7255,3111144,11.118,-72.919
66,SMC_J0048.5-7256,3111145,12.119,-72.929
67,SMC_J0052.5-7256,3111146,13.122,-72.931
68,SMC_J0056.4-7256,3111147,14.115,-72.937
69,SMC_J0100.4-7255,3111148,15.105,-72.927
70,SMC_J0104.4-7255,3111149,16.112,-72.91
71,SMC_J0108.4-7254,3111150,17.102,-72.896
72,SMC_J0112.4-7252,3111151,18.096,-72.873
